1,이트론,11,3,-21.43%,"72,706,472",837,11,12,100,0.55,-2.85
2,빌리언스,437,31,-6.62%,"28,197,711","13,934",439,440,178,-7.95,-10.32
3,현대무벡스,"5,900","1,245",+26.75%,"27,564,822","160,102","5,900","5,920","6,571",26.82,16.17
4,크레오에스지,450,85,+23.29%,"21,507,012","9,114",445,446,869,-5.06,-29.01
5,유니슨,"1,286",239,+22.83%,"20,139,869","24,798","1,265","1,268","2,195",-12.13,-36.03
6,이화전기,81,13,-13.83%,"19,227,578","1,592",80,81,177,1.65,-5.83
7,러셀,"2,325",260,+12.59%,"18,886,355","45,438","2,345","2,350",740,-332.14,8.06
8,태웅로직스,"3,295",270,+8.93%,"15,321,126","53,216","3,370","3,375","1,309",6.24,12.68
9,일승,"6,140",170,+2.85%,"10,946,902","70,351","6,170","6,180","1,887",37.44,4.57
10,스맥,"3,875",125,+3.33%,"10,552,153","41,512","3,875","3,880","2,644",24.22,18.73
11,동방선기,"4,635",150,+3.34%,"9,368,767","44,989","4,625","4,640",649,11.04,15.71
12,다날,"8,470",170,-1.97%,"8,826,991","74,934","8,490","8,500","5,840",-72.39,2.46
13,코닉오토메이션,"2,310",80,+3.59%,"8,357,793","20,043","2,315","2,325",972,-67.94,3.92
14,디에이치엑스컴퍼니,"1,005",115,+12.92%,"8,234,884","8,968","1,014","1,017",173,-0.67,-32.48
15,삼화네트웍스,"1,509",36,+2.44%,"8,117,429","12,864","1,512","1,516",651,-18.86,3.25
16,오리엔탈정공,"7,890",520,+7.06%,"8,025,825","65,245","7,940","7,950","3,596",13.67,26.45
17,KD,658,32,+5.11%,"7,901,226","5,414",652,656,176,-1.45,12.56
18,엔지켐생명과학,"1,189",200,+20.22%,"7,730,159","8,882","1,099","1,100","1,011",-4.49,-12.49
19,동일스틸럭스,"1,558",39,+2.57%,"7,317,477","12,144","1,554","1,560",407,-4.90,-28.53
20,케이에스피,"5,560",280,+5.30%,"7,261,274","41,579","5,590","5,600","2,235",19.17,25.99
21,썸에이지,548,30,-5.19%,"6,755,955","3,847",556,557,763,-9.61,-28.33
22,성호전자,"1,065",38,+3.70%,"6,633,969","7,597","1,062","1,063",755,-8.80,6.54
23,뉴로핏,"12,600","2,300",+22.33%,"6,397,453","77,806","12,720","12,730","1,456",-7.43,34.38
24,조아제약,"1,143",131,+12.94%,"6,384,728","7,661","1,172","1,174",354,-3.51,-26.54
